BS,CALI,RHOB,NPHI,PEF,GR,WELL,DEPTH_MD
12.25000095,12.39320755,2.441939116,0.246021792,3.125365496,66.89403534,1,8327.630188
12.25000095,12.38551045,2.443760395,0.197339237,3.097645521,63.30285263,1,8328.128875
12.25000095,12.38107109,2.452413321,0.172321826,3.023572207,53.09498978,1,8328.627563
12.25000095,12.38210583,2.464291334,0.16716069,3.008530378,45.04963303,1,8329.126251
12.25000095,12.37931442,2.477294684,0.173416287,3.174207687,35.13698578,1,8329.624938
12.25000095,12.37018395,2.496494293,0.182164922,3.506453037,29.26784706,1,8330.123626
12.25000095,12.35792065,2.527914763,0.182892636,3.837328672,25.75366402,1,8330.622314
12.25000095,12.35017204,2.563792229,0.179209396,4.055687904,25.89665031,1,8331.121002
12.25000095,12.35456944,2.58334899,0.178071752,4.186570168,29.40296555,1,8331.619689
12.25000095,12.36564922,2.577914953,0.18323268,4.238103867,31.36633301,1,8332.118377
12.25000095,12.37419987,2.561640501,0.196429059,4.191115379,37.24158859,1,8332.617065
12.25000095,12.38101101,2.547704935,0.210733384,4.101508141,39.29542923,1,8333.115752
12.25000095,12.39262772,2.533916712,0.238790408,3.994582653,45.14992142,1,8334.113128
12.25000095,12.39255714,2.529788971,0.25740698,3.880479813,54.50019074,1,8334.611815
12.25000095,12.38691139,2.523630858,0.270377725,3.730689764,59.90042877,1,8335.110503
12.25000095,12.382164,2.516167402,0.285624653,3.66288805,63.83057022,1,8335.609191
12.25000095,12.37882996,2.508136272,0.312309265,3.688493967,64.33065033,1,8336.107878
12.25000095,12.37277508,2.501217365,0.326828539,3.697643518,59.9906044,1,8336.606566
12.25000095,12.36666489,2.5018363,0.309492827,3.629966259,54.69671249,1,8337.105254
12.25000095,12.31251907,2.51221633,0.277261347,3.631879568,38.41033554,1,8337.603941
12.25000095,11.92440891,2.521209478,0.244877979,3.96453929,33.38038254,1,8338.102629
12.25000095,11.05861092,2.505052805,0.221224442,4.564448834,31.67176437,1,8338.601317
12.25000095,9.675614357,2.429778814,0.209987789,5.101211548,29.2463913,1,8339.598692
12.25000095,9.569773674,2.483381033,0.205558017,4.87820816,34.72916412,1,8341.094755
12.25000095,9.582221985,2.492244959,0.211284667,4.639252663,46.88232422,1,8341.593443
12.25000095,9.587718964,2.494064808,0.231054261,4.395306587,55.31167603,1,8342.09213
12.25000095,9.559229851,2.492561102,0.259274721,4.196291924,65.69957733,1,8342.590818
8.5,9.400748253,2.494199038,0.273744702,3.553033114,82.84236145,1,8343.588194
8.5,9.347695351,2.509341955,0.260806829,3.30472517,85.30909729,1,8344.585569
8.5,9.23152256,2.501823425,0.257164329,3.336352825,82.5009613,1,8345.582944
8.5,9.179563522,2.490057945,0.242676169,3.272063017,78.41602325,1,8346.081632
8.5,9.158470154,2.491733551,0.217551515,3.412425041,71.68648529,1,8346.58032
8.5,9.1092453,2.508594751,0.184686512,3.775589466,62.73494721,1,8347.079007
8.5,8.991844177,2.530696392,0.151835054,4.103847504,52.63352585,1,8347.577695
8.5,8.85562706,2.547398806,0.127251774,4.200929165,43.56439591,1,8348.076383
8.5,8.772621155,2.553572178,0.114926525,4.219704151,37.50437164,1,8348.57507
8.5,8.742918968,2.55065465,0.113117151,4.335050583,34.75787735,1,8349.073758
8.5,8.726988792,2.547008276,0.117561594,4.455719471,34.36630631,1,8349.572446
8.5,8.714281082,2.545413017,0.124505311,4.473853111,35.3002243,1,8350.071133
8.5,8.713658333,2.54126358,0.130064547,4.471744061,36.88663864,1,8350.569821
8.5,8.72315979,2.534593105,0.13124536,4.496786118,40.12187958,1,8351.068509
8.5,8.724785805,2.54197073,0.130982667,4.322490692,52.49547577,1,8352.065884
8.5,8.731749535,2.550278187,0.134863049,4.179460526,56.59353256,1,8352.564572
8.5,8.752066612,2.54962039,0.138040945,3.972331762,59.15501785,1,8353.063259
8.5,8.782575607,2.516120672,0.154780075,3.195258379,65.45462036,1,8354.060635
8.5,8.773231506,2.499892473,0.172964156,2.951280594,63.65177536,1,8354.559322
8.5,8.758333206,2.498254299,0.174489871,3.054347277,56.53290939,1,8355.05801
8.5,8.751626015,2.511706591,0.159125358,3.473437071,49.31077194,1,8355.556698
8.5,8.751413345,2.533713818,0.146587133,3.933177948,45.770401,1,8356.055386
8.5,8.744345665,2.556184769,0.142170891,4.210610867,44.27272415,1,8356.554073
8.5,8.736190796,2.571903467,0.144036487,4.321854591,43.70046997,1,8357.052761
8.5,8.741396904,2.575135231,0.153712645,4.244416237,44.69271088,1,8357.551449
8.5,8.752911568,2.567776203,0.167687342,4.013473988,46.44282532,1,8358.050136
8.5,8.755756378,2.559855938,0.173938856,3.857477188,47.26259613,1,8358.548824
8.5,8.757291794,2.542604685,0.166221917,3.779656649,54.25404739,1,8359.546199
8.5,8.742034912,2.517329216,0.167916581,3.42897296,65.26348877,1,8360.543575
8.5,8.729531288,2.511757135,0.149367511,3.351462841,63.84159851,1,8361.042262
8.5,8.731093407,2.514207363,0.12298508,3.389016867,57.9004097,1,8361.54095
8.5,8.744107246,2.531264067,0.108061843,3.625252962,48.73113632,1,8362.039638
8.5,8.758638382,2.554490566,0.107749604,3.927765369,40.46583939,1,8362.538325
8.5,8.762628555,2.561431646,0.120797902,3.902010918,37.93566132,1,8363.037013
8.5,8.736229897,2.501018763,0.202001646,3.099169254,45.48046112,1,8364.034388
8.5,8.738456726,2.46015811,0.239115,2.790505886,47.64738083,1,8364.533076
8.5,8.744074822,2.432416678,0.244492307,2.637782574,47.54363251,1,8365.031764
8.5,8.74621582,2.42350769,0.235813096,2.663845539,47.20646286,1,8365.530451
8.5,8.749603272,2.433657885,0.227336273,2.850298643,47.33216858,1,8366.029139
8.5,8.746507645,2.480238676,0.226075083,3.351307154,51.02881622,1,8367.026514
8.5,8.744880676,2.498095989,0.221967816,3.53520155,53.69487763,1,8367.525202
8.5,8.747348785,2.509100437,0.214983329,3.698334217,55.08691025,1,8368.02389
8.5,8.749461174,2.507606745,0.21205613,3.854928494,55.6324234,1,8368.522578
8.5,8.744616509,2.488294601,0.214233294,3.929025412,55.32263947,1,8369.021265
8.5,8.729417801,2.459023953,0.211958259,3.847033978,53.52155304,1,8369.519953
8.5,8.716980934,2.434713125,0.205491751,3.401384592,52.07434464,1,8370.517328
8.5,8.713541985,2.420626879,0.230750918,2.309481382,56.70448303,1,8372.512079
8.5,8.723049164,2.435264826,0.207250372,2.444501638,55.67702484,1,8373.010767
8.5,8.73385334,2.453455448,0.181662917,2.692349434,53.69205093,1,8373.509454
8.5,8.743272781,2.468687058,0.167649031,2.964412212,52.06153107,1,8374.008142
8.5,8.751691818,2.48282671,0.166257754,3.204444885,52.25624085,1,8374.50683
8.5,8.758005142,2.498893499,0.169875234,3.376783848,53.45190048,1,8375.005517
8.5,8.757838249,2.51368618,0.17437242,3.446280479,53.82040024,1,8375.504205
8.5,8.752882004,2.524382591,0.178956986,3.413399935,52.82213593,1,8376.002893
8.5,8.740290642,2.543667793,0.176747382,3.554325104,49.50114059,1,8377.000268
8.5,8.735178947,2.541232348,0.177802756,4.036856175,50.25001144,1,8377.997643
8.5,8.743394852,2.536108494,0.180782288,4.073088169,52.03891754,1,8378.496331
8.5,8.745326042,2.536476851,0.180996418,3.993414879,52.75948715,1,8378.995019
8.5,8.736478805,2.54030776,0.179162681,3.875233412,51.94009399,1,8379.493706
8.5,8.725738525,2.54473114,0.1760685,3.775265932,50.7757721,1,8379.992394
8.5,8.723327637,2.549845696,0.171519592,3.721688986,50.69703674,1,8380.491082
8.5,8.732050896,2.554010153,0.166433856,3.714243412,51.60354996,1,8380.98977
8.5,8.755268097,2.529643297,0.169050813,3.75505352,53.50083923,1,8381.987145
8.5,8.752669334,2.506620884,0.180665761,3.710161209,54.48096466,1,8382.485833
8.5,8.74344635,2.4951334,0.192643404,3.635397911,54.87049866,1,8382.98452
8.5,8.737729073,2.496076822,0.198829725,3.611228228,54.06422424,1,8383.483208
8.5,8.735245705,2.499054194,0.197842896,3.679105043,52.65966415,1,8383.981896
8.5,8.735141754,2.494731188,0.189029098,3.787014723,51.10190201,1,8384.480583
8.5,8.745401382,2.483021021,0.175729439,3.846580267,48.91666412,1,8384.979271
8.5,8.762711525,2.473417044,0.166335344,3.822130442,45.97650909,1,8385.477959
8.5,8.763183594,2.470926762,0.164026856,3.738761663,44.03429794,1,8385.976646
8.5,8.715202332,2.458649874,0.170967028,3.487765074,50.06485367,1,8386.974022
8.5,8.711380005,2.455838919,0.180784762,3.408016682,53.11920548,1,8387.472709
8.5,8.720259666,2.470119953,0.181594759,3.418958187,52.45861054,1,8387.971397
8.5,8.731235504,2.499340296,0.168477401,3.515642643,50.161026,1,8388.470085
8.5,8.741148949,2.52786231,0.155704156,3.697066546,48.50850678,1,8388.968772
8.5,8.744146347,2.544983149,0.153476626,3.91577816,47.66544724,1,8389.46746
8.5,8.743983269,2.553277969,0.157771513,3.993616819,46.80731583,1,8389.966148
8.5,8.752711296,2.556210756,0.160083219,3.797841549,46.12108994,1,8390.464835
8.5,8.761784554,2.547122717,0.16123277,3.446928501,48.1668663,1,8390.963523
8.5,8.760835648,2.518265963,0.171815947,3.16118288,54.92393494,1,8391.462211
8.5,8.7596035,2.481172562,0.195829094,3.020652056,63.61026382,1,8391.960898
8.5,8.759240151,2.458398581,0.221202701,2.985983372,69.85375214,1,8392.459586
